,Restaurant Name,Country Code,City,Longitude,Latitude,Major Cuisines,Average Cost for two in rupees,Has Table booking,Has Online delivery,Is delivering now,Price range,Aggregate rating,Rating color,Rating text,Votes,Address
60,Aconchego Carioca,30,Rio de Janeiro,-43.21551111,-22.91370833,Brazilian,1360.0,No,No,No,3,4.6,Dark Green,Excellent,24,"Rua Bar��o de Iguatemi, 379, Tijuca, Rio de Janeiro"
61,Garota de Ipanema,30,Rio de Janeiro,-43.16266667,-22.94783333,Brazilian,1280.0,No,No,No,3,4.3,Green,Very Good,10,"Avenida Jo��o Alves, 56, Urca, Rio de Janeiro"
64,Gopala Hari,30,S��o Paulo,-46.65866667,-23.55616667,Indian,1120.0,No,No,No,3,3.1,Orange,Average,5,"Rua Antonio Carlos, 429, Consola�_��o, S��o Paulo"
65,Jiquitaia,30,S��o Paulo,-46.657523,-23.55671,Brazilian,1600.0,No,No,No,4,4.1,Green,Very Good,15,"Rua Ant��nio Carlos, 268, Consola�_��o, S��o Paulo"
67,Les 3 Brasseurs,30,S��o Paulo,-46.67511,-23.582135,French,1920.0,No,No,No,4,4.6,Dark Green,Excellent,30,"Rua Jesu�_no Arruda, 470, Itaim Bibi, S��o Paulo"
68,Red Steak & Burger,30,S��o Paulo,-46.683888,-23.585324,Brazilian,1200.0,No,No,No,3,3.9,Yellow,Good,5,"Rua Tabapu��, 1417, Itaim Bibi, S��o Paulo"
69,Cantinho da Gula,30,S��o Paulo,-46.67566667,-23.581,Brazilian,880.0,No,No,No,2,0.0,White,Not rated,0,"Rua Pedroso Alvarenga, 522, Itaim Bibi, S��o Paulo, SP"
70,Paris 6 Classique,30,S��o Paulo,-46.666041,-23.561568,French,3200.0,No,No,No,4,3.4,Orange,Average,73,"Rua Haddock Lobo, 1240, Cerqueira C��sar, Jardim Paulista, S��o Paulo"
71,Kawa Sushi,30,S��o Paulo,-46.657418,-23.571638,Sushi,1920.0,No,No,No,4,3.5,Yellow,Good,9,"Alameda Lorena, 300, Jardim Paulista, S��o Paulo"
74,Meats,30,S��o Paulo,-46.68133333,-23.56483333,Gourmet Fast Food,1920.0,No,No,No,4,4.3,Green,Very Good,68,"Rua dos Pinheiros, 320, Pinheiros, S��o Paulo"
75,Paribar,30,S��o Paulo,-46.64159444,-23.54664167,Brazilian,2400.0,No,No,No,4,4.3,Green,Very Good,46,"Pra�_a Dom Jos�� Gaspar, 42, Rep�_blica, S��o Paulo 10000"
77,Divino Fog��o,30,S��o Paulo,-46.63716667,-23.5995,Brazilian,1040.0,No,No,No,3,0.0,White,Not rated,2,"Shopping Metr�� Santa Cruz - Piso L2, Rua Domingos de Morais, 2564, Vila Mariana, S��o Paulo"
78,Super Grill,30,S��o Paulo,-46.698574,-23.622925,Brazilian,800.0,No,No,No,2,0.0,White,Not rated,2,"Shopping Morumbi - Piso Lazer, Avenida Roque Petroni J�_nior, 1089, Santo Amaro, S��o Paulo"
79,Esquina Mocot�_,30,S��o Paulo,-46.581672,-23.486535,Brazilian,1600.0,No,No,No,4,4.4,Green,Very Good,22,"Avenida Nossa Senhora do Loreto, 1104, Vila Medeiros, Vila Maria, S��o Paulo"
80,Veloso,30,S��o Paulo,-46.63566667,-23.58516667,Brazilian,1120.0,No,No,No,3,4.6,Dark Green,Excellent,58,"Rua Concei�_��o Veloso, 56, Vila Mariana, S��o Paulo"
81,Sainte Marie Gastronomia,30,S��o Paulo,-46.746958,-23.609207,Lebanese,1920.0,No,No,No,4,4.1,Green,Very Good,11,"Rua Dom Jo��o Batista da Costa, 70, Vila S��nia, S��o Paulo"
82,Austin's BBQ and Oyster Bar,216,Albany,-84.221535,31.610387,BBQ,2075.0,No,No,No,2,3.3,Orange,Average,35,"2820 Meredyth Dr, Albany, GA 31707"
83,BJ's Country Buffet,216,Albany,-84.207095,31.608743,American,830.0,No,No,No,1,3.3,Orange,Average,25,"2401 Dawson Rd, Albany, GA 31707"
86,Elements Coffee Co - Northwest,216,Albany,-84.206944,31.622412,Coffee and Tea,830.0,No,No,No,1,3.4,Orange,Average,26,"2726 Ledo Rd Ste 10, Albany, GA 31707"
88,Chick-fil-A,216,Albany,-84.2193,31.616,Fast Food,830.0,No,No,No,1,3.5,Yellow,Good,67,"2703 Dawson Rd, Albany, GA 31707"
89,Guang Zhou Chinese Restaurant,216,Albany,-84.2091458,31.6155186,Asian,830.0,No,No,No,1,3.9,Yellow,Good,141,"1214 N Westover Blvd, Albany, GA 31707"
90,Harvest Moon,216,Albany,-84.205718,31.604905,Pizza,2075.0,No,No,No,2,3.7,Yellow,Good,147,"2347 Dawson Road, Albany, GA 31707"
92,Hong Kong Cafe,216,Albany,-84.2191,31.6156,Chinese,2075.0,No,No,No,2,3.6,Yellow,Good,88,"2700 Dawson Rd, Albany, GA 31707"
93,House of China Restaurant II,216,Albany,-84.212,31.6104,Chinese,830.0,No,No,No,1,3.8,Yellow,Good,153,"2526 Dawson Rd Ste A, Albany, GA 31707"
95,Locos Grill & Pub,216,Albany,-84.2228,31.6077,American,2075.0,No,No,No,2,3.5,Yellow,Good,57,"547 N Westover Blvd, Albany, GA 31707"
96,Longhorn Steakhouse,216,Albany,-84.2229,31.6185,American,2075.0,No,No,No,2,3.5,Yellow,Good,58,"2733 Dawson Rd, Albany, GA 31707"
97,Mikata Japanese Steakhouse,216,Albany,-84.2164,31.6137,Japanese,3320.0,No,No,No,3,3.6,Yellow,Good,115,"2610 Dawson Rd, Albany, GA 31707"
98,Shogun Japanese Steak House,216,Albany,-84.2233,31.6118,Japanese,3320.0,No,No,No,3,3.5,Yellow,Good,51,"629 N Westover Blvd, Albany, GA 31707"
99,The Catch Seafood Room & Oyster Bar,216,Albany,-84.205025,31.605882,Seafood,3320.0,No,No,No,3,3.8,Yellow,Good,250,"2332 Whispering Pines Road, Albany, GA 31707"
100,Villa Gargano,216,Albany,-84.1757,31.5985,Italian,830.0,No,No,No,1,3.7,Yellow,Good,117,"1604 N Slappey Blvd, Albany, GA 31701"
101,3 Squares Diner,216,Albany,-83.8389,31.5308,American,830.0,No,No,No,1,3.4,Orange,Average,20,"202 W Franklin St, Sylvester, GA 31791"
102,Whitebull Hotel,14,Armidale,151.6688792,-30.5147169,Bar Food,1660.0,No,No,No,2,3.5,Yellow,Good,25,"117 Marsh St, Armidale, NSW"
103,Last Resort Grill,216,Athens,-83.378273,33.957999,American,3320.0,No,No,No,3,4.5,Dark Green,Excellent,1821,"184 W Clayton St, Athens, GA 30601"
104,Mama's Boy Restaurant,216,Athens,-83.3654,33.9535,Southern,830.0,No,No,No,1,4.5,Dark Green,Excellent,849,"197 Oak St, GA 30601"
105,Sr. Sol 1,216,Athens,-83.4293,33.9652,Mexican,830.0,No,No,No,1,4.6,Dark Green,Excellent,917,"175 Tallassee Rd, Athens, GA 30606"
106,Choo Choo Eastside,216,Athens,-83.3389,33.9259,Japanese,830.0,No,No,No,1,3.9,Yellow,Good,439,"1055 Gaines School Rd Ste 100, Athens, GA 30605"
107,The Grill,216,Athens,-83.375523,33.958198,Breakfast,830.0,No,No,No,1,3.7,Yellow,Good,289,"171 College Ave, Athens, GA 30601"
108,Big City Bread Cafe,216,Athens,-83.384004,33.959392,Breakfast,830.0,No,No,No,1,4.3,Green,Very Good,558,"393 N Finley St, Athens, GA 30601"
109,Clocked,216,Athens,-83.3797,33.9584,American,830.0,No,No,No,1,4.2,Green,Very Good,613,"259 W Washington St, Athens, GA 30601"
110,DePalma's Italian Cafe - Downtown,216,Athens,-83.373596,33.958112,American,2075.0,No,No,No,2,4.0,Green,Very Good,353,"401 E Broad St, Athens, GA 30601"
111,DePalma's Italian Cafe - East Side,216,Athens,-83.33995,33.924275,American,2075.0,No,No,No,2,4.1,Green,Very Good,387,"1965 Barnett Shoals Rd, Athens, GA 30605"
112,Five & Ten,216,Athens,-83.3872482,33.9415545,American,3320.0,No,No,No,3,4.3,Green,Very Good,755,"1073 South Milledge Ave, Athens, GA 30605"
113,Grit,216,Athens,-83.381625,33.960112,International,830.0,No,No,No,1,4.2,Green,Very Good,800,"199 Prince Ave, Athens, GA 30601"
114,Ike & Jane,216,Athens,-83.400887,33.963296,Sandwich,830.0,No,No,No,1,4.1,Green,Very Good,350,"1307 Prince Ave, Athens, GA 30606"
115,La Dolce Vita Ristorante,216,Athens,-83.4075,33.9584,Italian,3320.0,No,No,No,3,4.1,Green,Very Good,464,"323 E Broad St, Athens, GA 30601"
116,Shokitini,216,Athens,-83.379251,33.957503,Asian,2075.0,No,No,No,2,4.2,Green,Very Good,550,"251 W Clayton St, Athens, GA 30601"
117,Taqueria Del Sol,216,Athens,-83.383605,33.960571,Mexican,830.0,No,No,No,1,4.1,Green,Very Good,543,"334 Prince Ave, Athens, GA 30601"
118,The National,216,Athens,-83.37967,33.959468,International,3320.0,No,No,No,3,4.1,Green,Very Good,465,"232 W. Hancock Ave., Athens, GA 30601"
119,The Royal Peasant,216,Athens,-83.38728,33.937502,Bar Food,830.0,No,No,No,1,4.4,Green,Very Good,546,"1675 S. Lumpkin St., Athens, GA 30606"
120,Transmetropolitan,216,Athens,-83.3764,33.9584,Italian,830.0,No,No,No,1,4.4,Green,Very Good,1098,"145 E Clayton St, Athens, GA 30601"
121,Trappeze Pub,216,Athens,-83.378881,33.958363,Burger,2075.0,No,No,No,2,4.2,Green,Very Good,579,"269 N Hull St, Athens, GA 30601"
122,Viva! Argentine Cuisine,216,Athens,-83.3828224,33.9600227,Desserts,830.0,No,No,No,1,4.1,Green,Very Good,374,"247 Prince Ave, Athens, GA 30601"
123,Miyabi Kyoto Japanese Steak House,216,Augusta,-82.0865,33.4721,Chinese,3320.0,No,No,No,3,4.6,Dark Green,Excellent,717,"1315 Augusta West Pkwy, Augusta, GA 30909"
124,Rae's Coastal Cafe,216,Augusta,-82.0698,33.4791,American,3320.0,No,No,No,3,4.9,Dark Green,Excellent,548,"3208 W Wimbledon Dr, Augusta, GA 30909"
125,The Bee's Knees,216,Augusta,-81.97,33.4765,International,2075.0,No,No,No,2,4.5,Dark Green,Excellent,631,"211 10th Street, Augusta, GA 30901"
126,Boll Weevil Cafe,216,Augusta,-81.9684,33.474,Desserts,830.0,No,No,No,1,3.9,Yellow,Good,372,"10 9th St, Augusta, GA 30901"
127,Farmhaus Burger,216,Augusta,-81.973006,33.477444,American,2075.0,No,No,No,2,3.9,Yellow,Good,201,"1204 Broad St, Augusta, GA 30901"
128,Manuel's Bread Cafe,216,Augusta,-81.965571,33.481779,Breakfast,3320.0,No,No,No,3,3.8,Yellow,Good,332,"505 Railroad Ave, North Augusta, GA 29841"
129,Sconyers Bar B Que,216,Augusta,-82.0327,33.4086,BBQ,2075.0,No,No,No,2,3.5,Yellow,Good,304,"2250 Sconyers Way, Augusta, GA 30906"
130,Frog Hollow Tavern,216,Augusta,-81.974944,33.478231,American,3320.0,No,No,No,3,4.3,Green,Very Good,368,"1282 broad street, Augusta, GA 30901"
131,Giuseppe's Pizza & Italian Specialities,216,Augusta,-82.096,33.4827,Desserts,2075.0,No,No,No,2,4.1,Green,Very Good,430,"3690 Wheeler Rd, Augusta, GA 30909"
132,Mellow Mushroom,216,Augusta,-81.9721,33.4778,Italian,2075.0,No,No,No,2,4.4,Green,Very Good,433,"1167 Broad St, Augusta, GA 30901"
133,Nacho Mamas Burritos,216,Augusta,-81.9694,33.4764,Mexican,830.0,No,No,No,1,4.0,Green,Very Good,380,"976 Broad St, Augusta, GA 30901"
134,Rhinehart's Oyster Bar,216,Augusta,-82.0505,33.5133,Bar Food,2075.0,No,No,No,2,4.0,Green,Very Good,456,"3051 Washington Rd, Augusta, GA 30907"
135,Takosushi,216,Augusta,-82.0301,33.4848,Mexican,3320.0,No,No,No,3,4.2,Green,Very Good,647,"437 Highland Ave, Augusta, GA 30909"
136,The Chop House,216,Augusta,-82.080788,33.467201,Steak,3320.0,No,No,No,3,4.0,Green,Very Good,360,"Augusta Mall, Augusta, GA 30909"
137,The Taj of India,216,Augusta,-82.0805493,33.5375868,Indian,2075.0,No,No,No,2,4.0,Green,Very Good,227,"502 Furys Ferry Rd, Augusta, GA 30907"
138,Augsburg Haus,216,Augusta,-82.143793,33.544342,German,2075.0,No,No,No,2,3.9,Yellow,Good,290,"4460 Washington Road, Evans, GA 30809"
139,Pho Bac,216,Augusta,-82.126161,33.532249,Vietnamese,830.0,No,No,No,1,4.1,Green,Very Good,270,"4300 Towne Centre, Evans, GA 30809"
140,Rhinehart's Oyster Bar,216,Augusta,-82.141284,33.521291,Burger,2075.0,No,No,No,2,4.0,Green,Very Good,326,"303 North Bel Air Rd, Evans, GA 30809"
141,Thai Kitchen,216,Augusta,-82.1328,33.5406,Thai,2905.0,No,No,No,3,4.3,Green,Very Good,317,"4357 Washington Road, Evans, GA 30809"
142,El Kiosco Mexican Restaurant,216,Augusta,-82.1997,33.4574,Mexican,830.0,No,No,No,1,4.2,Green,Very Good,300,"5174 Wrightsboro Rd, Grovetown, GA 30813"
143,Taste of Balingup,14,Balingup,115.9844924,-33.7845269,Modern Australian,1660.0,No,No,No,2,3.2,Orange,Average,21,"63 South Western Hwy, Balingup, WA"
144,Bridge Road Brewers,14,Beechworth,146.685852,-36.360439,Pizza,1660.0,No,No,No,2,4.6,Dark Green,Excellent,237,"Old Coach House 50 Ford St, Beechworth, Beechworth, VIC"
145,Bardenay,216,Boise,-116.2019,43.6138,American,2075.0,No,No,No,2,4.5,Dark Green,Excellent,879,"610 W Grove St, Boise, ID 83702"
146,Flatbread Neapolitan Pizzeria,216,Boise,-116.203466,43.616068,Italian,2075.0,No,No,No,2,4.6,Dark Green,Excellent,615,"800 W Main Suite 230, Boise, ID 83702"
147,Goldy's Breakfast Bistro,216,Boise,-116.2023,43.6149,Breakfast,2075.0,No,No,No,2,4.5,Dark Green,Excellent,879,"108 S Capitol Blvd, Boise, ID 83702"
149,Bar Gernika Basque Pub & Eatery,216,Boise,-116.2031,43.614,European,830.0,No,No,No,1,4.3,Green,Very Good,303,"202 S Capitol Blvd, Boise, ID 83702"
151,Big Jud's,216,Boise,-116.2062,43.5945,American,830.0,No,No,No,1,4.2,Green,Very Good,334,"1289 Protest Rd, Boise, ID 83706"
152,Bittercreek Ale House,216,Boise,-116.2022,43.6167,American,2075.0,No,No,No,2,4.3,Green,Very Good,555,"246 N 8th St, Boise, ID 83702"
153,Boise Fry Company,216,Boise,-116.193409,43.610279,American,830.0,No,No,No,1,4.4,Green,Very Good,823,"204 N Capitol Blvd, Boise, ID 83702"
154,Flying Pie Pizzaria,216,Boise,-116.2625,43.6192,Pizza,2075.0,No,No,No,2,4.1,Green,Very Good,550,"6508 W Fairview Ave, Boise, ID 83704"
155,Fork,216,Boise,-116.202845,43.616295,American,2075.0,No,No,No,2,4.4,Green,Very Good,650,"199 N 8th St, Boise, ID 83702"
156,Guido's Original New York Style Pizza,216,Boise,-116.199,43.615,Pizza,830.0,No,No,No,1,4.3,Green,Very Good,410,"235 N 5th St, Boise, ID 83702"
157,Los Beto's,216,Boise,-116.2463,43.6191,Mexican,830.0,No,No,No,1,4.4,Green,Very Good,660,"5220 W Fairview Ave, Boise, ID 83706"
158,Lucianos Italian Restaurant,216,Boise,-116.245165,43.6051379,Italian,2075.0,No,No,No,2,4.4,Green,Very Good,360,"11 N Orchard St, Boise, ID 83706"
159,Mai Thai Restaurant,216,Boise,-116.2021,43.6162,Sushi,3320.0,No,No,No,3,4.0,Green,Very Good,340,"750 W Idaho St, Boise, ID 83702"
160,Shige Japanese Cuisine,216,Boise,-116.2031,43.6156,Japanese,2075.0,No,No,No,2,4.1,Green,Very Good,393,"100 N 8th St, Boise, ID 83702"
161,The Egg Factory,216,Boise,-116.281809,43.619274,Breakfast,830.0,No,No,No,1,4.3,Green,Very Good,422,"8061 W Fairview Ave, Boise, ID 83704"
162,Tucanos,216,Boise,-116.280614,43.591706,Brazilian,3320.0,No,No,No,3,4.0,Green,Very Good,435,"1388 S Entertainment Ave, Boise, ID 83709"
163,Texas Roadhouse,216,Boise,-116.347304,43.619108,American,2075.0,No,No,No,2,4.0,Green,Very Good,369,"3801 E Fairview Avenue, Meridian, Boise, ID 83642"
164,Brick 29,216,Boise,-116.5629,43.5777,American,3320.0,No,No,No,3,4.4,Green,Very Good,487,"320 11th Avenue S, Nampa, ID 83651"
165,Winifreds,216,Cedar Rapids/Iowa City,-91.6336,42.0179,American,3320.0,No,No,No,3,3.7,Yellow,Good,98,"3847 1st Ave SE, Cedar Rapids, IA 52402"
166,Biaggi's Ristorante Italiano,216,Cedar Rapids/Iowa City,-91.6327,42.0281,Italian,3320.0,No,No,No,3,4.1,Green,Very Good,365,"320 Collins Rd NE, Cedar Rapids, IA 52402"
167,El Super Burrito,216,Cedar Rapids/Iowa City,-91.7148,41.9748,Mexican,830.0,No,No,No,1,4.1,Green,Very Good,190,"3300 Johnson Ave NW, Cedar Rapids, IA 52405"
168,Granite City Food & Brewery,216,Cedar Rapids/Iowa City,-91.6224,42.0249,American,3320.0,No,No,No,3,4.1,Green,Very Good,429,"4755 1st Ave SE, Cedar Rapids, IA 52402"
169,Irish Democrat,216,Cedar Rapids/Iowa City,-91.6347,42.01,American,2075.0,No,No,No,2,4.4,Green,Very Good,430,"3207 1st Ave SE, Cedar Rapids, IA 52402"
170,Taste of India,216,Cedar Rapids/Iowa City,-91.6499622,42.0215347,Indian,2075.0,No,No,No,2,4.2,Green,Very Good,186,"1060 Old Marion Rd NE, Cedar Rapids, IA 52402"
171,Thai Moon Restaurant,216,Cedar Rapids/Iowa City,-91.7266,41.9639,Chinese,830.0,No,No,No,1,4.2,Green,Very Good,220,"4362 16th Ave SW, Cedar Rapids, IA 52404"
172,Ting's Red Lantern,216,Cedar Rapids/Iowa City,-91.6394,42.0468,Chinese,830.0,No,No,No,1,4.2,Green,Very Good,347,"540 Boyson Rd NE, Cedar Rapids, IA 52402"
173,Monica's,216,Cedar Rapids/Iowa City,-91.569767,41.670466,American,2075.0,No,No,No,2,3.8,Yellow,Good,161,"303 2nd Street, Coralville, IA 52241"
174,Exotic India,216,Cedar Rapids/Iowa City,-91.5687,41.6685,Indian,2075.0,No,No,No,2,4.1,Green,Very Good,160,"102 2nd Ave, Coralville, IA 52241"
175,Shorts Burger and Shine,216,Cedar Rapids/Iowa City,-91.534424,41.660982,Burger,830.0,No,No,No,1,4.9,Dark Green,Excellent,820,"18 S Clinton St, Iowa City, IA 52240"
176,The Hamburg Inn No. 2 Inc.,216,Cedar Rapids/Iowa City,-91.531414,41.663849,American,830.0,No,No,No,1,4.5,Dark Green,Excellent,488,"214 N Linn St, Iowa City, IA 52245"
177,Bluebird Diner,216,Cedar Rapids/Iowa City,-91.531093,41.663751,Breakfast,2075.0,No,No,No,2,3.6,Yellow,Good,253,"330 E Market St, Iowa City, IA 52245"
178,Graze,216,Cedar Rapids/Iowa City,-91.534302,41.658691,American,3320.0,No,No,No,3,3.8,Yellow,Good,220,"115 East College St, Iowa City, IA 52240"
179,A & A Pagliai's Pizza,216,Cedar Rapids/Iowa City,-91.5314,41.6648,Pizza,2075.0,No,No,No,2,4.3,Green,Very Good,485,"302 E Bloomington St, Iowa City, IA 52245"
180,Atlas World Grill,216,Cedar Rapids/Iowa City,-91.5341,41.661,International,3320.0,No,No,No,3,4.3,Green,Very Good,428,"127 Iowa Ave, Iowa City, IA 52240"
181,BlackStone,216,Cedar Rapids/Iowa City,-91.482165,41.667742,American,2075.0,No,No,No,2,4.1,Green,Very Good,294,"503 Westbury Dr Ste 1, Iowa City, IA 52245"
182,Devotay,216,Cedar Rapids/Iowa City,-91.5318,41.6625,Mediterranean,3320.0,No,No,No,3,4.0,Green,Very Good,380,"117 N Linn St, Iowa City, IA 52245"
183,Jimmy Jack's Rib Shack,216,Cedar Rapids/Iowa City,-91.5074,41.6428,BBQ,2075.0,No,No,No,2,4.2,Green,Very Good,259,"1940 Lower Muscatine Rd, Iowa City, IA 52240"
184,Zoeys Pizzeria,216,Cedar Rapids/Iowa City,-91.5995,42.0331,Pizza,2075.0,No,No,No,2,4.7,Dark Green,Excellent,433,"690 10th St, Marion, IA 52302"
185,Tokyo Sushi,37,Chatham-Kent,-82.188438,42.397683,Japanese,2075.0,No,No,No,2,3.7,Yellow,Good,176,"150 Richmond St, Chatham-Kent, ON N7M2V2"
186,Berry Patch Restaurant,216,Clatskanie,-123.368151,46.126967,American,830.0,No,No,No,1,4.3,Green,Very Good,96,"49289 Us-30, Westport, OR 97016"
187,Sakura Sushi & Grill,216,Cochrane,-114.472474,51.183934,Asian,2075.0,No,No,No,2,3.1,Orange,Average,6,"130 Quarry Street, Unit 20, Cochrane, AB T4C 0W5"
188,Uptown Vietnam cuisine,216,Columbus,-84.992671,32.470315,Asian,830.0,No,No,No,1,3.3,Orange,Average,33,"1250 Broadway, Columbus, GA 31901"
189,Cafe Le Rue @ The Landings,216,Columbus,-84.95591,32.519247,American,2075.0,No,No,No,2,4.6,Dark Green,Excellent,489,"2523 Airport Thruway, Columbus, GA 31904"
